No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us US,2,Villanova,ATL
13,Bogdan BogdanoviÄ,SG,6-5,220,"August 18, 1992",rs RS,5,,ATL
15,Clint Capela,C,6-10,240,"May 18, 1994",ch CH,8,,ATL
20,John Collins,PF,6-9,235,"September 23, 1997",us US,5,Wake Forest,ATL
7,Jarrett Culver,SF,6-6,195,"February 20, 1999",us US,3,Texas Tech,ATL
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,3,Maryland,ATL
2,Trent Forrest,SG,6-4,210,"June 12, 1998",us US,2,Florida State,ATL
14,AJ Griffin,SF,6-6,222,"August 25, 2003",us US,R,Duke,ATL
3,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,4,UCLA,ATL
8,Justin Holiday,SF,6-6,180,"April 5, 1989",us US,9,Washington,ATL
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us US,3,Virginia,ATL
1,Jalen Johnson,SF,6-9,220,"December 18, 2001",us US,1,Duke,ATL
0,Frank Kaminsky,C,7-0,240,"April 4, 1993",us US,7,Wisconsin,ATL
27,Vit Krejci,PG,6-8,195,"June 19, 2000",cz CZ,1,,ATL
22,Tyrese Martin,SG,6-6,215,"March 7, 1999",us US,R,"Rhode Island, UConn",ATL
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us US,3,Lipscomb,ATL
5,Dejounte Murray,SG,6-5,180,"September 19, 1996",us US,5,Washington,ATL
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us US,2,USC,ATL
4,Donovan Williams,SG,6-6,190,"September 6, 2001",us US,R,"Texas, UNLV",ATL
11,Trae Young,PG,6-1,164,"September 19, 1998",us US,4,Oklahoma,ATL
13,Malcolm Brogdon,PG,6-4,229,"December 11, 1992",us US,6,Virginia,BOS
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,6,California,BOS
99,Justin Champagnie,SF,6-6,200,"June 29, 2001",us US,1,Pitt,BOS
20,JD Davison,SG,6-1,195,"October 3, 2002",us US,R,Alabama,BOS
91,Blake Griffin,C,6-9,250,"March 16, 1989",us US,12,Oklahoma,BOS
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us US,1,"Marquette, Virginia",BOS
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,15,Florida,BOS
43,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,5,UNC,BOS
28,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca CA,2,Florida State,BOS
40,Luke Kornet,C,7-2,250,"July 15, 1995",us US,5,Vanderbilt,BOS
57,Mike Muscala,C,6-10,240,"July 1, 1991",us US,9,Bucknell,BOS
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,2,Oregon,BOS
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,8,Oklahoma State,BOS
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,5,Duke,BOS
4,Noah Vonleh,C,6-10,257,"August 24, 1995",us US,7,Indiana,BOS
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,5,"Colorado-Colorado Springs, Colorado",BOS
12,Grant Williams,PF,6-6,236,"November 30, 1998",us US,3,Tennessee,BOS
44,Robert Williams,C,6-9,237,"October 17, 1997",us US,4,Texas A&M,BOS
1,Mikal Bridges,SG,6-6,209,"August 30, 1996",us US,4,Villanova,BRK
0,Moses Brown,C,7-2,245,"October 13, 1999",us US,3,UCLA,BRK
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,3,Georgia,BRK
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,8,"Liberty, Duke",BRK
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,8,Colorado,BRK
6,David Duke Jr.,SG,6-5,205,"October 13, 1999",us US,1,Providence,BRK
7,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,14,Texas,BRK
14,Kessler Edwards,SF,6-8,215,"August 9, 2000",us US,1,Pepperdine,BRK
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,6,Florida,BRK
0,RaiQuan Gray,PF,6-8,260,"July 7, 1999",us US,R,Florida State,BRK
12,Joe Harris,SF,6-6,220,"September 6, 1991",us US,8,Virginia,BRK
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,11,Duke,BRK
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,3,"Pitt, UNC",BRK
8,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,13,Saint Mary's,BRK
13,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,11,Kansas,BRK
0,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,8,Kentucky,BRK
0,Royce O'Neale,SF,6-4,226,"June 5, 1993",us US,5,"Denver, Baylor",BRK
20,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",us US,1,UNC,BRK
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,4,LSU,BRK
9,Dru Smith,SG,6-3,203,"December 30, 1997",us US,R,"University of Evansville, Missouri",BRK
4,Edmond Sumner,SG,6-4,196,"December 31, 1995",us US,4,Xavier,BRK
24,Cam Thomas,SG,6-4,210,"October 13, 2001",jp JP,1,LSU,BRK
1,T.J. Warren,PF,6-8,220,"September 5, 1993",us US,7,NC State,BRK
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,4,George Washington,BRK
31,Alondes Williams,SG,6-4,210,"June 19, 1999",us US,R,"Triton College, Oklahoma, Wake Forest",BRK
21,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,10,Arkansas,CHI
13,Tony Bradley,C,6-10,248,"January 8, 1998",us US,5,UNC,CHI
6,Alex Caruso,PG,6-5,186,"February 28, 1994",us US,5,Texas A&M,CHI
11,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,13,USC,CHI
12,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us US,1,Illinois,CHI
7,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,14,,CHI
3,Andre Drummond,C,6-11,279,"August 10, 1993",us US,10,UConn,CHI
24,Javonte Green,SF,6-4,205,"July 23, 1993",us US,3,Radford,CHI
21,Malcolm Hill,SF,6-6,220,"October 26, 1995",us US,1,Illinois,CHI
22,Carlik Jones,PG,6-1,185,"December 23, 1997",us US,1,"Radford, Louisville",CHI
5,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us US,6,UNLV,CHI
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,8,UCLA,CHI
19,Marko Simonovic,C,6-11,216,"October 15, 1999",me ME,1,,CHI
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,1,Austin Peay State University,CHI
